id,code,path,name,uri_root,model_name,key_name_bid,key_name_page,uri_is_fixed,uri_link,uri_title,uri_date,uri_author,uri_reference,uri_inside_date,notice_drop_num
110,wmrc,/notice/wmrc,야생동물구조센터,http://www.wmrc.co.kr/bbs/board.php?bo_table=sub5_1,Wmrc,wr_id,null,"//*[@id=""ctn""]/table/tbody/tr/td/form/table/tbody/tr/td[1]","//*[@id=""ctn""]/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a","//*[@id=""ctn""]/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a//text()","//*[@id=""ctn""]/table/tbody/tr/td/form/table/tbody/tr/td[4]//text()","//*[@id=""ctn""]/table/tbody/tr/td/form/table/tbody/tr/td[3]/span//text()",null,"//*[@id=""ctn""]/table/tbody/tr/td/div[1]/div/span//text()",0
111,tpsc,/notice/tpsc,교원양성지원센터,https://tpsc.kangwon.ac.kr/bbs/board.php?bo_table=notice,Tpsc,wr_id,page,"//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[1]/strong","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[2]/a//text()","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[5]//text()","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[4]/span//text()",null,null,0
112,gongja,/notice/gongja,공자학원,http://gongja.kangwon.ac.kr/bbs4/zboard.php?id=sub61,Gongja,no,page,/html/body/table[4]/tbody/tr/td[3]/div/table[3]/tbody/tr/td[2]/img,/html/body/table[4]/tbody/tr/td[3]/div/table[3]/tbody/tr/td[3]/a,/html/body/table[4]/tbody/tr/td[3]/div/table[3]/tbody/tr/td[3]/a/font//text(),/html/body/table[4]/tbody/tr/td[3]/div/table[3]/tbody/tr/td[5]/span//text(),/html/body/table[4]/tbody/tr/td[3]/div/table[3]/tbody/tr/td[4]//text(),null,null,0
113,icee,/notice/icee,공학교육혁신센터,http://icee.kangwon.ac.kr/index.php?mp=m4_1_1,Icee,BID,cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]/img","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a/font//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]//text()",null,null,0
114,itl,/notice/itl,교육혁신원,https://itl.kangwon.ac.kr/ko/community/notice/list,Itl,restful,restful,"//*[@id=""ModuleBoardListForm""]/ul/li/span[1]","//*[@id=""ModuleBoardListForm""]/ul/li/span[2]/a","//*[@id=""ModuleBoardListForm""]/ul/li/span[2]/a//text()","//*[@id=""ModuleBoardListForm""]/ul/li/span[4]/time//text()","//*[@id=""ModuleBoardListForm""]/ul/li/span[3]/span//text()",null,null,0
115,knup,/notice/knup,신문방송사,http://knup.kangwon.ac.kr/index.php?&mp=5_1,Knup,BID,cpage,"//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[1]","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[2]/a//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[4]//text()","//*[@id=""bbsWrap""]/form[1]/table/tbody/tr/td[3]//text()",null,null,0
116,gkrtod,/notice/gkrtod,장애학생지원센터,http://gkrtod.kangwon.ac.kr/board/bbs/board.php?bo_table=BBS001_2,Gkrtod,wr_id,page,/html/body/table/tbody/tr/td/form/table/tbody/tr/td[1]/b,/html/body/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a,/html/body/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a//text(),/html/body/table/tbody/tr/td/form/table/tbody/tr/td[4]//text(),/html/body/table/tbody/tr/td/form/table/tbody/tr/td[3]/span//text(),null,/html/body/table/tbody/tr/td/div[1]/div[1]/span//text(),0
117,kwbi,/notice/kwbi,창업보육센터,http://kwbi.kangwon.ac.kr/board_list.asp?boardCode=notice,Kwbi,boardNumber,page,/html/body/div[3]/div[3]/div[3]/table/tbody/tr/td[1],/html/body/div[3]/div[3]/div[3]/table/tbody/tr/td[2]/a,/html/body/div[3]/div[3]/div[3]/table/tbody/tr/td[2]/a/span//text(),/html/body/div[3]/div[3]/div[3]/table/tbody/tr/td[5]//text(),/html/body/div[3]/div[3]/div[3]/table/tbody/tr/td[4]//text(),null,null,0
118,kcc,/notice/kcc,한국어문화원,http://kcc.kangwon.ac.kr/web/ezboard.php?BID=board01&GID=root,Kcc,UID,null,/html/body/div/table/tbody/tr/td/table[2]/tbody/tr/td[3]/table[2]/tbody/tr/td/table/tbody/tr/td/table[2]/tbody/tr/td/table[1]/tbody/tr/td[1]/font/img,/html/body/div/table/tbody/tr/td/table[2]/tbody/tr/td[3]/table[2]/tbody/tr/td/table/tbody/tr/td/table[2]/tbody/tr/td/table[1]/tbody/tr/td[2]/a,/html/body/div/table/tbody/tr/td/table[2]/tbody/tr/td[3]/table[2]/tbody/tr/td/table/tbody/tr/td/table[2]/tbody/tr/td/table[1]/tbody/tr/td[2]/a/font//text(),/html/body/div/table/tbody/tr/td/table[2]/tbody/tr/td[3]/table[2]/tbody/tr/td/table/tbody/tr/td/table[2]/tbody/tr/td/table[1]/tbody/tr/td[4]//text(),/html/body/div/table/tbody/tr/td/table[2]/tbody/tr/td[3]/table[2]/tbody/tr/td/table/tbody/tr/td/table[2]/tbody/tr/td/table[1]/tbody/tr/td[3]//text(),null,/html/body/div/table/tbody/tr/td/table[2]/tbody/tr/td[3]/table[2]/tbody/tr/td/table/tbody/tr/td/table[2]/tbody/tr/td/table[1]/tbody/tr/td/table/tbody/tr[2]/td[4]//text(),0
119,ksef,/notice/ksef,창업지원단,http://ksef.kangwon.ac.kr/board_list.asp?boardCode=notice,Ksef,boardNumber,page,/html/body/div[1]/div/div/div[2]/div[2]/section/div[2]/table/tbody/tr/td[1],/html/body/div[1]/div/div/div[2]/div[2]/section/div[2]/table/tbody/tr/td[2]/a,/html/body/div[1]/div/div/div[2]/div[2]/section/div[2]/table/tbody/tr/td[2]/a//text(),/html/body/div[1]/div/div/div[2]/div[2]/section/div[2]/table/tbody/tr/td[5]//text(),/html/body/div[1]/div/div/div[2]/div[2]/section/div[2]/table/tbody/tr/td[4]/a/span//text(),null,null,0
120,kwphilo,/notice/kwphilo,철학과,http://kwphilo.kangwon.ac.kr/bbs/board.php?bo_table=sub05_01,Kwphilo,wr_id,page,/html/body/table/tbody/tr/td/form/table/tbody/tr/td[1]/b,/html/body/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a,/html/body/table/tbody/tr/td/form/table/tbody/tr/td[2]/nobr/a//text(),/html/body/table/tbody/tr/td/form/table/tbody/tr/td[4]//text(),/html/body/table/tbody/tr/td/form/table/tbody/tr/td[3]/span//text(),null,/html/body/table/tbody/tr/td/div[1]/div[1]/span//text(),0
121,job,/notice/job,취업지원과,https://job.kangwon.ac.kr/kwjobs/user/bbs/index.jsp?gb=1,Job,Idx,pageNo,"//*[@id=""tbl_1""]/tbody/tr/td[1]//text()","//*[@id=""tbl_1""]/tbody/tr/td[2]/a","//*[@id=""tbl_1""]/tbody/tr/td[2]/a//text()","//*[@id=""tbl_1""]/tbody/tr/td[5]//text()","//*[@id=""tbl_1""]/tbody/tr/td[4]//text()",null,null,0
122,library,/notice/library,도서관,https://library.kangwon.ac.kr/#/bbs/ccnotice?max=20&offset=%d,Library,restful,offset,/html/body/div[1]/div[3]/div[4]/div/div[2]/div/div[3]/div/div[5]/table/tbody/tr/td[1]/span[2]//text(),/html/body/div[1]/div[3]/div[4]/div/div[2]/div/div[3]/div/div[5]/table/tbody/tr/td[2]/span[2]/span/a,/html/body/div[1]/div[3]/div[4]/div/div[2]/div/div[3]/div/div[5]/table/tbody/tr/td[2]/span[2]/span/a//text(),/html/body/div[1]/div[3]/div[4]/div/div[2]/div/div[3]/div/div[5]/table/tbody/tr/td[3]/span[2]//text(),/html/body/div[1]/div[3]/div[4]/div/div[2]/div/div[3]/div/div[5]/table/tbody/tr/td[4]/span[2]//text(),null,null,0
123,smed,/notice/smed,의과대학·의학전문대학원,https://smed.kangwon.ac.kr/smed_new/main/index.php?m_cd=50,Smed,b_id,page,"//*[@id=""bbs_list""]/table/tbody/tr/td[1]","//*[@id=""bbs_list""]/table/tbody/tr/td[2]/a","//*[@id=""bbs_list""]/table/tbody/tr/td[2]/a//text()","//*[@id=""bbs_list""]/table/tbody/tr/td[4]//text()","//*[@id=""bbs_list""]/table/tbody/tr/td[3]//text()",null,null,0
124,knuchild,/notice/knuchild,유아교육과,https://knuchild.kangwon.ac.kr/knuchild/community/department-notice.do?articleLimit=20&article.offset=%d,Knuchild,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
125,graduate,/notice/graduate,일반대학원,https://graduate.kangwon.ac.kr/graduate/community/notice.do?articleLimit=20&article.offset=%d,Graduate,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
126,mhaksa,/notice/mhaksa,강원대-학사공지,https://www.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=37,Mhaksa,nttNo,pageIndex,"//*[@id=""board""]/table/tbody/tr/td[1]/strong","//*[@id=""board""]/table/tbody/tr/td[3]/a","//*[@id=""board""]/table/tbody/tr/td[3]/a//text()","//*[@id=""board""]/table/tbody/tr/td[6]//text()","//*[@id=""board""]/table/tbody/tr/td[4]//text()","//*[@id=""board""]/table/tbody/tr/td[2]//text()",null,0
127,mjanghak,/notice/mjanghak,강원대-장학 게시판,https://www.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34,Mjanghak,nttNo,pageIndex,"//*[@id=""board""]/table/tbody/tr/td[1]/strong","//*[@id=""board""]/table/tbody/tr/td[3]/a","//*[@id=""board""]/table/tbody/tr/td[3]/a//text()","//*[@id=""board""]/table/tbody/tr/td[6]//text()","//*[@id=""board""]/table/tbody/tr/td[4]//text()","//*[@id=""board""]/table/tbody/tr/td[2]//text()",null,0
128,knuserv,/notice/knuserv,봉사은행,https://knuserv.kangwon.ac.kr/notice?,Knuserv,restful,page,"//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[1]/span","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[2]/div/a","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[5]//text()","//*[@id=""fboardlist""]/div[1]/table/tbody/tr/td[3]/span//text()",null,null,0
